,dt,o,h,l,c
221,2020-01-05 14:30:00,7440.32653061,7443.3877551,7429.10204083,7429.830321
222,2020-01-05 15:00:00,7432.1632653,7466.74785617,7429.60223404,7457.16326531
223,2020-01-05 15:30:00,7458.69387753,7479.32371543,7441.34693878,7469.46777098
224,2020-01-05 16:00:00,7468.98154156,7481.16493574,7455.00000001,7474.65640577
225,2020-01-05 16:30:00,7474.09533261,7486.47532712,7449.51020408,7459.71428571
226,2020-01-05 17:00:00,7460.98979591,7468.89795917,7446.4860748,7465.97284666
227,2020-01-05 17:30:00,7466.85714285,7470.0,7457.6734694,7463.06811226
228,2020-01-05 18:00:00,7463.06811226,7468.5068756,7440.0,7440.0
229,2020-01-05 18:30:00,7440.0,7446.44897956,7423.47959183,7440.32653054
230,2020-01-05 19:00:00,7439.25612242,7448.48979591,7427.12,7445.91947818
231,2020-01-05 19:30:00,7445.91947819,7448.48979576,7436.24489795,7444.39273893
232,2020-01-05 20:00:00,7443.89024703,7443.89024703,7429.10204081,7429.10204081
233,2020-01-05 20:30:00,7428.08163265,7439.30612242,7422.97959184,7431.65008081
234,2020-01-05 21:00:00,7431.73509406,7431.77456404,7408.18163267,7408.86320921
235,2020-01-05 21:30:00,7408.96954455,7409.7142857,7359.47636909,7367.72889648
236,2020-01-05 22:00:00,7368.51170242,7386.05112743,7320.1489101,7336.37235812
237,2020-01-05 22:30:00,7337.89260262,7363.7205745,7333.25501209,7356.65002
238,2020-01-05 23:00:00,7356.79715546,7361.30922298,7321.59653609,7349.91001457
239,2020-01-05 23:30:00,7348.6424,7363.35,7343.47394862,7359.66822393
240,2020-01-06 00:00:00,7357.40000015,7374.89932885,7347.18857922,7357.86414765
241,2020-01-06 00:30:00,7357.33603569,7384.28985076,7350.0,7379.5798387
242,2020-01-06 01:00:00,7379.03722854,7392.25557133,7367.55825008,7378.08163265
243,2020-01-06 01:30:00,7378.9408163,7427.53839056,7371.23793723,7425.9242973
244,2020-01-06 02:00:00,7423.51073596,7522.00158437,7422.61126792,7509.17408709
245,2020-01-06 02:30:00,7511.02957043,7564.1748397,7489.22212395,7542.25605697
246,2020-01-06 03:00:00,7550.8142499,7579.42432717,7492.95092001,7517.09808856
247,2020-01-06 03:30:00,7523.25700076,7544.26476134,7514.51995854,7539.64870403
248,2020-01-06 04:00:00,7540.421747,7554.36118311,7517.15476119,7518.62149573
249,2020-01-06 04:30:00,7518.93537402,7543.03336499,7515.51404336,7528.55276605
250,2020-01-06 05:00:00,7528.65276617,7541.426908,7502.47067685,7510.97746913
251,2020-01-06 05:30:00,7514.29186405,7532.09217654,7497.70354073,7531.97284735
252,2020-01-06 06:00:00,7531.855055,7535.01089016,7510.00000005,7515.11610401
253,2020-01-06 06:30:00,7515.116104,7527.47265711,7511.52469043,7518.45233531
254,2020-01-06 07:00:00,7520.69109034,7526.82401199,7515.54370399,7519.79999968
255,2020-01-06 07:30:00,7515.61885965,7524.94657253,7506.54,7507.68888515
256,2020-01-06 08:00:00,7512.39815746,7534.19094753,7511.5859323,7524.24477879
257,2020-01-06 08:30:00,7524.24477879,7552.2799917,7519.02511694,7547.01133274
258,2020-01-06 09:00:00,7547.01133262,7550.37749127,7517.10508212,7529.85648277
259,2020-01-06 09:30:00,7529.85648277,7552.07999161,7518.721946,7551.97924368
260,2020-01-06 10:00:00,7551.97924368,7558.0,7534.62102524,7544.74486692
