t,o,h,l,c,v
1578040200000,7216.48128455,7292.90715364,7214.87483141,7260.17010063,189.72172166
1578042000000,7255.12708593,7330.73895812,7250.58407146,7307.54535705,103.80755458
1578043800000,7312.2924242,7358.06563045,7297.78430832,7342.58485056,92.72351381
1578045600000,7346.14242527,7367.24535067,7320.0,7330.225197,50.99485319
1578047400000,7329.47562857,7341.23209596,7286.53509002,7313.00689111,53.72582018
1578049200000,7313.00689111,7339.48999999,7306.81597444,7326.53020804,98.41976292
1578051000000,7326.71520186,7344.50457199,7314.62122052,7338.28021069,131.47733499
1578052800000,7339.6227,7353.52381236,7318.28847065,7335.95902273,118.91509208
1578054600000,7336.63308795,7337.30715319,7306.37565904,7322.0082121,90.51336078
1578056400000,7322.0082121,7331.38873497,7312.78464359,7330.7486994,44.86259156
1578058200000,7331.20000028,7378.01548687,7320.81981601,7344.60248082,75.71408017
1578060000000,7348.07952386,7360.60561036,7235.32721134,7260.52409124,134.55353674
1578061800000,7260.52409124,7277.17744769,7248.18409191,7255.20796498,38.16201655
1578063600000,7255.20796498,7278.53987082,7253.65760257,7272.38406386,53.2776741
1578065400000,7270.49761855,7324.78676154,7264.98904229,7319.09968799,73.23075175
1578067200000,7318.21490303,7401.74414092,7291.76000002,7365.55063965,254.14255103
1578069000000,7366.80070934,7394.41142681,7337.98790642,7388.32968443,139.97783401
1578070800000,7387.90007099,7402.0,7330.1280134,7360.42133901,104.29071286
1578072600000,7359.85215586,7379.75856869,7350.301306,7351.56451505,54.89869463
1578074400000,7353.34389014,7362.039464,7329.66654001,7352.29678898,72.26450046
1578076200000,7350.583354,7369.99999998,7339.49,7339.74504303,27.83231033
1578078000000,7340.430034,7340.69565298,7280.0,7331.168309,91.73589686
1578079800000,7331.99999999,7346.2388366,7320.37542302,7340.1747672,43.1807582
1578081600000,7343.56972754,7361.01657691,7296.84725492,7324.86955039,89.11680124
1578083400000,7324.06955023,7332.133203,7311.51852577,7316.407424,53.64888897
1578085200000,7319.48088894,7334.78548039,7305.0,7325.67287961,87.69107549
1578087000000,7325.67287961,7329.49999998,7255.20311813,7279.26891173,57.76683003
1578088800000,7279.26891174,7305.93764998,7266.41803567,7266.41803567,37.08502901
1578090600000,7271.22224434,7320.74995645,7260.35392917,7299.10000013,40.47865768
1578092400000,7301.79440198,7346.55853946,7292.05673813,7336.95691092,82.24596624
1578094200000,7336.95691092,7347.13939999,7313.82810367,7344.84012792,72.55701248
1578096000000,7344.65455073,7349.34549052,7311.44442174,7314.50295185,89.40834513
1578097800000,7314.6814602,7314.684459,7289.61686516,7307.5362278,67.36836643
1578099600000,7304.15408005,7310.31833221,7282.97082291,7303.23160987,42.90200442
1578101400000,7303.23160987,7311.99999992,7297.26788156,7306.85903361,29.61997405
1578103200000,7310.54836801,7314.37519822,7298.0940398,7303.10050182,29.95548333
1578105000000,7303.20050183,7331.48047575,7295.77827327,7330.11999999,45.1116984
1578106800000,7328.19252792,7339.31296634,7319.04939313,7322.9821901,65.30102991
1578108600000,7321.44109501,7337.7983382,7318.49285751,7332.47792248,55.93429816
1578110400000,7332.81688371,7333.15584494,7312.36104595,7326.03878876,44.02955426
1578112200000,7326.03878876,7338.93332199,7323.84047787,7335.3380221,32.32825095
1578114000000,7334.12362713,7350.0,7325.26087865,7344.98885328,44.37762587
1578115800000,7343.67247401,7367.62875163,7338.87178592,7344.27438462,88.16868817
1578117600000,7343.37441645,7366.11905577,7340.11541553,7359.56097496,164.18012771
1578119400000,7359.17073118,7359.46551811,7340.54861431,7355.3852948,202.06749988
1578121200000,7355.152387,7365.89019515,7329.95488429,7329.95488429,201.42230729
1578123000000,7331.27293857,7353.49245276,7327.898496,7347.09817619,97.07562933
1578124800000,7347.09817618,7349.8610625,7330.9846388,7347.60398361,80.03994499
1578126600000,7345.34690509,7362.89651942,7344.00000004,7345.07202544,61.10662772
1578128400000,7345.07202551,7348.37214942,7337.88229339,7346.65585485,52.31054241
1578130200000,7346.11873514,7369.40163346,7342.80359076,7361.60179786,86.35522431
1578132000000,7364.12307984,7368.02039693,7348.19246781,7361.29887671,64.71292058
1578133800000,7363.46660802,7364.78054046,7308.84154199,7317.85364069,103.40727662
1578135600000,7313.60744853,7338.33106024,7302.36104595,7324.929313,96.6782297
1578137400000,7323.34507691,7340.0,7318.89889001,7338.02772449,62.96132265
1578139200000,7337.73278132,7340.0,7316.51592052,7326.374126,112.24417395
1578141000000,7326.99999999,7330.43983773,7304.01318002,7313.60624379,189.65220475
1578142800000,7310.72619019,7326.14079601,7302.12233646,7309.84552224,128.79499797
1578144600000,7310.10311487,7315.78918412,7290.96836138,7301.77223688,132.17563619
1578146400000,7302.60474872,7317.55945978,7293.66651803,7310.09407499,96.96631596
1578148200000,7308.90606426,7324.14048455,7307.71805344,7316.590756,154.77042513
1578150000000,7316.59075599,7332.66853766,7302.36378613,7327.72640369,108.6102669
1578151800000,7327.23010669,7332.51178809,7314.79058581,7318.9672401,105.02854957
1578153600000,7318.53268471,7324.49999998,7304.28747854,7308.74743983,125.76532824
1578155400000,7308.74743983,7314.50230724,7298.39332721,7308.53753231,110.91336871
1578157200000,7308.53753231,7327.45330534,7304.60237327,7327.45330491,88.89613568
1578159000000,7327.45330534,7349.52044157,7325.85723998,7349.52044157,113.9363836
1578160800000,7347.55322713,7355.45536077,7331.97881331,7351.41969299,106.6573367
1578162600000,7351.78226913,7403.0402129,7274.12349904,7307.0999999,203.41336232
1578164400000,7306.32932604,7329.86678145,7283.69754281,7318.1153027,74.16619444
1578166200000,7318.1153027,7353.52381239,7312.80650319,7336.79243309,94.29636259
1578168000000,7336.79243308,7351.49465699,7312.80650319,7339.23348492,66.30551388
