t,o,h,l,c,v
1610809200000,37246.5,37761.0,37038.0,37508.0,1136.757
1610812800000,37508.0,37755.0,36975.5,37247.5,1002.615
1610816400000,37247.5,37323.0,36876.5,36891.0,490.489
1610820000000,36891.0,37163.0,36418.5,36525.5,890.535
1610823600000,36525.5,36618.0,36225.0,36391.0,1226.176
1610827200000,36391.0,36814.5,36255.5,36706.0,746.946
1610830800000,36706.0,36712.5,35740.5,35949.0,919.056
1610834400000,35949.0,36153.5,35380.0,36111.5,879.551
1610838000000,36111.5,36436.5,35921.5,35995.5,601.939
1610841600000,35995.5,36465.5,35538.0,36392.5,1048.891
1610845200000,36392.5,36705.0,36181.0,36700.0,671.844
1610848800000,36700.0,36733.5,36289.5,36472.5,562.977
1610852400000,36472.5,36572.5,36040.5,36222.5,743.982
1610856000000,36222.5,36413.0,35886.0,35893.5,1134.755
1610859600000,35893.5,36036.0,35520.5,35587.5,1300.762
1610863200000,35587.5,35745.0,35081.0,35411.5,1917.147
1610866800000,35411.5,35549.0,34543.0,34791.0,2270.971
1610870400000,34791.0,34834.5,34300.5,34715.5,2211.31
1610874000000,34715.5,35144.0,33989.0,34151.5,1413.414
1610877600000,34151.5,35052.0,33847.5,34788.0,1932.226
1610881200000,34788.0,35350.0,34712.5,35247.5,1216.3
1610884800000,35247.5,35516.5,34990.0,35112.0,932.41
1610888400000,35112.0,35457.0,34780.5,34815.0,780.244
1610892000000,34815.0,35194.0,34684.0,34733.5,857.223
1610895600000,34733.5,35939.0,34733.5,35716.5,1335.988
1610899200000,35716.5,36139.0,35589.5,35883.5,790.355
1610902800000,35883.5,36086.5,35607.0,35836.5,555.506
1610906400000,35836.5,35916.5,35644.5,35669.0,369.409
1610910000000,35669.0,35970.0,35546.0,35647.0,653.439
1610913600000,35647.0,36083.5,35576.0,36048.0,538.976
1610917200000,36048.0,36841.5,36048.0,36565.5,904.881
1610920800000,36565.5,36710.0,36055.0,36211.0,509.55
1610924400000,36211.0,36440.0,35701.0,35871.5,544.123
1610928000000,35871.5,36024.0,35610.0,35969.5,630.678
1610931600000,35969.5,36175.0,35623.5,36134.0,559.028
1610935200000,36134.0,36209.0,35727.5,35802.0,503.697
1610938800000,35802.0,35862.0,34885.0,35120.0,1171.749
1610942400000,35120.0,35331.5,34956.0,35169.5,607.587
1610946000000,35169.5,35480.0,34802.0,35366.0,820.504
1610949600000,35366.0,35457.0,35080.0,35186.0,345.938
1610953200000,35186.0,36218.0,35174.5,36088.0,775.796
1610956800000,36088.0,36435.0,36080.0,36225.0,558.586
1610960400000,36225.0,36649.5,36205.0,36559.0,571.445
1610964000000,36559.0,36621.5,36167.5,36243.0,454.869
1610967600000,36243.0,36576.0,35830.0,36430.0,810.958
1610971200000,36430.0,37489.0,36412.5,37083.0,1990.917
1610974800000,37083.0,37223.0,36775.0,36839.5,720.754
1610978400000,36839.5,37046.0,36123.0,36498.5,1062.802
1610982000000,36498.5,36639.0,36182.5,36458.5,536.334
1610985600000,36458.5,36600.0,35913.0,36245.0,847.105
1610989200000,36245.0,36345.0,35484.0,35729.0,1208.937
1610992800000,35729.0,35940.0,35595.0,35820.5,472.869
1610996400000,35820.5,36108.5,35771.0,35989.0,531.883
1611000000000,35989.0,36390.5,35856.5,36124.5,1064.023
1611003600000,36124.5,36315.0,35986.0,36240.5,505.317
